cdc_case_earliest_dt,cdc_report_dt,death_yn
7/17/2020,"4,511",Unknown
7/17/2020,"1,085",Yes
7/18/2020,"29,847",Missing
7/18/2020,"16,768",No
7/18/2020,"3,544",Unknown
7/18/2020,987,Yes
7/19/2020,"25,133",Missing
7/19/2020,"16,248",No
7/19/2020,"2,999",Unknown
7/19/2020,878,Yes
7/20/2020,"30,295",Missing
7/20/2020,"24,687",No
7/20/2020,"5,193",Unknown
7/20/2020,"1,241",Yes
7/21/2020,"25,624",Missing
7/21/2020,"20,076",No
7/21/2020,"4,798",Unknown
7/21/2020,"1,147",Yes
7/22/2020,"26,774",Missing
7/22/2020,"19,984",No
7/22/2020,"4,668",Unknown
7/22/2020,"1,126",Yes
7/23/2020,"24,797",Missing
7/23/2020,"18,829",No
7/23/2020,"5,027",Unknown
7/23/2020,"1,097",Yes
7/24/2020,"24,142",Missing
7/24/2020,"18,947",No
7/24/2020,"4,700",Unknown
7/24/2020,"1,042",Yes
7/25/2020,"20,057",Missing
7/25/2020,"14,366",No
7/25/2020,"3,419",Unknown
7/25/2020,811,Yes
7/26/2020,"17,682",Missing
7/26/2020,"12,710",No
7/26/2020,"2,900",Unknown
7/26/2020,724,Yes
7/27/2020,"26,922",Missing
7/27/2020,"21,435",No
7/27/2020,"4,970",Unknown
7/27/2020,"1,167",Yes
7/28/2020,"24,014",Missing
7/28/2020,"19,548",No
7/28/2020,"4,670",Unknown
7/28/2020,"1,019",Yes
7/29/2020,"25,587",Missing
7/29/2020,"19,365",No
7/29/2020,"4,829",Unknown
7/29/2020,"1,093",Yes
7/30/2020,"24,626",Missing
7/30/2020,"18,044",No
7/30/2020,"4,478",Unknown
7/30/2020,991,Yes
7/31/2020,"21,745",Missing
7/31/2020,"20,181",No
7/31/2020,"4,449",Unknown
7/31/2020,962,Yes
8/1/2020,"18,640",Missing
8/1/2020,"14,301",No
8/1/2020,"3,251",Unknown
8/1/2020,720,Yes
8/2/2020,"15,861",Missing
8/2/2020,"11,351",No
8/2/2020,"3,002",Unknown
8/2/2020,699,Yes
8/3/2020,"19,931",Missing
8/3/2020,"19,105",No
8/3/2020,"5,200",Unknown
8/3/2020,965,Yes
8/4/2020,"31,853",Missing
8/4/2020,"19,510",No
8/4/2020,"4,384",Unknown
8/4/2020,"1,076",Yes
8/5/2020,"22,237",Missing
8/5/2020,"18,783",No
8/5/2020,"4,571",Unknown
8/5/2020,"1,019",Yes
8/6/2020,"22,373",Missing
8/6/2020,"16,642",No
8/6/2020,"4,386",Unknown
8/6/2020,892,Yes
8/7/2020,"20,742",Missing
8/7/2020,"17,041",No
8/7/2020,"4,472",Unknown
8/7/2020,821,Yes
8/8/2020,"26,465",Missing
8/8/2020,"14,285",No
8/8/2020,"3,174",Unknown
8/8/2020,781,Yes
8/9/2020,"24,299",Missing
8/9/2020,"11,908",No
8/9/2020,"2,746",Unknown
8/9/2020,665,Yes
8/10/2020,"25,613",Missing
8/10/2020,"20,699",No
8/10/2020,"4,407",Unknown
8/10/2020,"1,107",Yes
8/11/2020,"24,021",Missing
8/11/2020,"16,852",No
8/11/2020,"4,111",Unknown
8/11/2020,985,Yes
8/12/2020,"20,612",Missing
8/12/2020,"17,083",No
8/12/2020,"4,190",Unknown
8/12/2020,857,Yes
8/13/2020,"21,183",Missing
8/13/2020,"17,399",No
8/13/2020,"3,951",Unknown
8/13/2020,809,Yes
8/14/2020,"31,371",Missing
8/14/2020,"20,224",No
8/14/2020,"3,807",Unknown
8/14/2020,777,Yes
8/15/2020,"18,239",Missing
8/15/2020,"14,445",No
8/15/2020,"3,372",Unknown
8/15/2020,575,Yes
8/16/2020,"13,985",Missing
8/16/2020,"11,918",No
8/16/2020,"2,640",Unknown
8/16/2020,541,Yes
8/17/2020,"22,403",Missing
8/17/2020,"18,879",No
8/17/2020,"4,231",Unknown
8/17/2020,886,Yes
8/18/2020,"19,589",Missing
8/18/2020,"16,142",No
8/18/2020,"3,773",Unknown
8/18/2020,837,Yes
8/19/2020,"27,690",Missing
8/19/2020,"17,689",No
8/19/2020,"4,342",Unknown
8/19/2020,721,Yes
8/20/2020,"27,678",Missing
8/20/2020,"17,348",No
8/20/2020,"4,275",Unknown
8/20/2020,741,Yes
8/21/2020,"29,296",Missing
8/21/2020,"17,900",No
8/21/2020,"3,865",Unknown
8/21/2020,757,Yes
8/22/2020,"19,089",Missing
8/22/2020,"11,743",No
8/22/2020,"2,887",Unknown
8/22/2020,542,Yes
8/23/2020,"11,829",Missing
8/23/2020,"10,522",No
8/23/2020,"2,570",Unknown
8/23/2020,473,Yes
8/24/2020,"21,662",Missing
8/24/2020,"19,728",No
8/24/2020,"4,481",Unknown
8/24/2020,711,Yes
8/25/2020,"17,769",Missing
8/25/2020,"20,655",No
8/25/2020,"4,140",Unknown
8/25/2020,831,Yes
8/26/2020,"19,267",Missing
